,logFC.NBH,logFC.SC
Funhe2EKm007950,2.17621556,1.802851844
Funhe2EKm021334,-1.989358865,-1.40511576
Funhe2EKm002577,2.855028015,4.189974777
Funhe2EKm027528,1.064178122,0.647063547
Funhe2EKm033768,1.290571956,0.731687171
Funhe2EKm006719,-1.645238173,-0.87814913
Funhe2EKm027732,0.921109171,0.630923852
Funhe2EKm039163,2.473718128,3.760757086
Funhe2EKm037175,-1.372826769,-0.84364011
Funhe2EKm040575,1.748190543,1.274709895
Funhe2EKm007323,1.161203912,0.85618716
Funhe2EKm037728,-0.84615914,-0.69597971
Funhe2EKm000692,1.501791376,2.780490004
Funhe2EKm017615,0.697027864,0.586708862
Funhe2EKm033818,-1.362913186,-0.91849359
Funhe2EKm032900,0.830990101,0.644411615
Funhe2EKm029278,0.757424261,0.656254872
Funhe2EKm007929,0.733494486,0.74380583
Funhe2EKm030289,1.142210954,1.37219981
Funhe2EKm032296,1.583422168,1.199327207
Funhe2EKm036279,1.881474578,2.42712441
Funhe2EKm026265,0.646862325,0.506325916
Funhe2EKm033354,-1.115526612,-1.07159133
Funhe2EKm004657,1.902374563,2.477769086
Funhe2EKm012096,1.444659544,1.661968291
Funhe2EKm027081,1.59550275,3.678659051
Funhe2EKm024495,0.692576315,0.855522444
Funhe2EKm032892,1.005725371,0.936077155
Funhe2EKm007506,0.94428191,1.110199168
Funhe2EKm010013,1.359365316,1.897745619
